target_id	length	eff_length	est_counts	tpm
h1SMnT0035336.1	1940	1755.71	308	10.3282
h1SMcT0022985.1	1708	1523.71	42.4	1.63829
h1SMcT0022986.2	4197	4012.71	157.122	2.3053
h1SMcT0022987.1	1736	1551.71	1	0.0379418
h1SMcT0023070.1	5147	4962.71	33.1386	0.393137
h1SMcT0023071.1	3817	3632.71	68.1957	1.10523
h1SMnT0035473.1	248	86.0021	5.20539	3.56347
h1SMnT0035282.1	324	149.893	0	0
h1SMnT0035410.1	802	617.768	3.68902	0.351572
h1SMnT0035411.1	1866	1681.71	5.9337	0.207732
h1SMnT0035412.1	446	264.4	77.0816	17.164
h1SMnT0035413.1	1162	977.711	0	0
h1SMnT0035414.1	455	273.129	3	0.646668
h1SMcT0023036.1	515	331.915	0	0
h1SMnT0035415.1	274	106.963	2	1.10084
h1SMnT0035416.1	239	78.8597	0	0
h1SMnT0035017.1	213	59.7559	0	0
h1SMnT0035018.1	1006	821.711	25.9913	1.86225
h1SMnT0035019.1	234	75.0601	1.8943	1.48583
h1SMnT0035020.1	131	15.1416	0	0
h1SMnT0035021.1	207	55.4378	0	0
h1SMnT0035022.1	135	16.4348	5.43782	19.48
h1SMnT0035023.1	407	226.906	0	0
h1SMnT0035024.1	220	64.757	0	0
h1SMnT0035025.1	684	499.885	52.5714	6.19167
h1SMnT0035026.1	238	78.0879	0	0
h1SMnT0035027.1	243	82.0329	0	0
h1SMcT0022751.1	540	356.632	3.15965	0.521612
h1SMnT0035028.1	150	22.175	0	0
h1SMcT0022752.1	3221	3036.71	149.239	2.8934
h1SMnT0035029.1	146	20.4702	0	0
h1SMcT0022842.1	1046	861.711	1.69892	0.116075
h1SMcT0022922.1	9129	8944.71	887.759	5.84328
h1SMcT0022849.2	2324	2139.71	47.5491	1.30833
h1SMcT0022701.1	817	632.755	0	0
h1SMcT0022702.1	676	491.895	185.068	22.1507
h1SMcT0022703.1	535	351.703	4.55189	0.761982
h1SMcT0022704.1	1049	864.711	46.7736	3.18462
h1SMnT0034947.1	228	70.6184	0	0
h1SMnT0035417.1	202	52.0373	0	0
h1SMcT0022754.1	524	340.821	3.1788	0.549117
h1SMcT0022755.1	2124	1939.71	794.735	24.122
h1SMnT0035033.1	550	366.538	5	0.803118
h1SMcT0022756.1	4972	4787.71	68.8816	0.847039
h1SMnT0035034.1	528	344.773	0	0
h1SMcT0022757.1	1814	1629.71	31	1.1199
h1SMnT0035035.1	396	216.419	161.269	43.8716
h1SMcT0022758.1	1034	849.711	71.2465	4.93651
h1SMnT0035036.17	1318	1133.71	155.539	8.07731
h1SMcT0022759.1	514	330.922	84.3225	15.0019
h1SMnT0035037.1	353	176.168	0	0
h1SMnT0035275.1	259	94.6873	0	0
h1SMnT0035276.2	344	167.964	0	0
h1SMnT0035277.1	253	89.8737	0	0
h1SMcT0023024.1	3051	2866.71	142.826	2.93327
h1SMnT0035402.1	289	119.464	0	0
h1SMcT0023042.2	1466	1281.71	358.269	16.4569
h1SMnT0035427.1	1208	1023.71	23	1.32275
h1SMcT0022862.1	1026	841.711	2.31177	0.1617
h1SMnT0035170.2	655	470.915	33.3988	4.17559
h1SMcT0022863.1	1505	1320.71	50	2.2289
h1SMcT0022789.1	798	613.768	69	6.61871
h1SMnT0035068.1	373	194.855	87	26.2867
h1SMnT0035069.1	1659	1474.71	2.41222	0.0963026
h1SMnT0035460.1	632	448.007	0	0
h1SMcT0023056.1	588	404.193	20.6444	3.00706
h1SMcT0022984.1	1142	957.711	0	0
h1SMnT0035359.1	697	512.875	2.63822	0.30285
h1SMnT0034915.1	218	63.3221	0	0
h1SMnT0034916.1	209	56.8499	0	0
h1SMnT0034917.1	232	73.5772	0	0
h1SMnT0034918.1	438	256.662	0	0
h1SMcT0022663.1	1497	1312.71	0	0
h1SMcT0022829.1	1057	872.711	1.45095	0.097884
h1SMcT0022830.1	371	192.942	1	0.305142
h1SMnT0035145.1	3971	3786.71	13.0824	0.203401
h1SMnT0035444.1	202	52.0373	0.347626	0.393302
h1SMnT0035445.1	540	356.632	0	0
h1SMnT0035446.1	441	259.563	0	0
h1SMcT0023050.1	519	335.881	0	0
h1SMnT0035455.1	341	165.26	0.790777	0.281717
h1SMcT0022918.1	2327	2142.71	234.163	6.43402
h1SMnT0035239.1	1818	1633.71	3	0.108112
h1SMnT0035240.1	770	585.768	1	0.100509
h1SMnT0035241.1	620	436.068	0	0
h1SMnT0035136.1	309	136.599	161.315	69.5276
h1SMnT0035230.1	456	274.118	0	0
h1SMnT0035231.1	510	326.994	0	0
h1SMcT0022860.1	4973	4788.71	131.552	1.61736
h1SMcT0022647.1	2589	2404.71	0	0
h1SMcT0022648.1	629	445.033	0	0
h1SMnT0034902.1	468	285.781	0	0
h1SMcT0022649.1	2638	2453.71	0	0
h1SMnT0035064.1	502	319.124	0	0
h1SMnT0035065.1	832	647.755	11.1368	1.01223
h1SMcT0022785.1	1558	1373.71	11.9567	0.51244
h1SMnT0035066.1	1891	1706.71	11.7675	0.405932
h1SMcT0022786.1	1547	1362.71	1446.88	62.5113
h1SMcT0022787.1	3997	3812.71	16.5231	0.255145
h1SMnT0035363.1	257	93.1103	0	0
h1SMcT0023005.1	2141	1956.71	30.5567	0.919409
h1SMcT0022817.1	1546	1361.71	169.57	7.33151
h1SMnT0035117.1	904	719.741	0	0
h1SMcT0022818.1	1302	1117.71	842.655	44.3862
h1SMnT0035159.1	486	303.392	0	0
h1SMnT0035160.1	318	144.559	0	0
h1SMcT0022858.1	954	769.711	0	0
h1SMnT0035161.1	539	355.667	0	0
h1SMnT0035162.1	308	135.795	31.7325	13.7578
h1SMcT0022859.1	870	685.755	193.627	16.6236
h1SMnT0035163.1	521	337.848	0	0
h1SMnT0035164.1	315	141.835	0	0
