gene	Currie_et_al_Lhx_LFC	This_study_Lhx_LFC	Currie_et_al_Pitx_LFC	This_study_Litx_LFC
h1SMcG0000507	-1.02809129835015	0.68428164522585	-0.405532981359588	-0.495616109789667
h1SMcG0000508	-0.0384158169165327	0.0809386314675374	-0.108711814428574	-0.101021892474791
h1SMcG0000510	0.235985016216848	0.857482686247546	0.3097843148386	0.767604540002683
h1SMcG0000511	0.175429400812983	0.0254396424423541	-0.0150227192134389	0.192674657540212
h1SMcG0000512	-0.149935303557209	-1.08346748671475	-0.329101295381678	-0.735572785339676
h1SMcG0000513	0.186038897492096	-0.167746029057644	0.045015352500589	-0.016276391192318
h1SMcG0000516	0.125092411550418	0.622600314452486	-0.449577508432195	0.837353726294015
h1SMcG0000518	0.13840049668794	0.437693369356239	0.152001746645411	-0.56756158544357
h1SMcG0000519	0.0173513245666552	0.181541580667719	0.0679599727342579	-0.00139686126358437
h1SMcG0000520	0.00493317390388513	-0.0360615692206914	0.00936708199709499	-0.0874358135006954
h1SMcG0000523	-0.192669179073237	0.0232915022469667	-0.220618423505503	-0.143474433201773
h1SMcG0000524	-0.0343282278257986	0.17642579632544	-0.0316445536623069	0.0364323621303329
h1SMcG0000525	0.0609538476512469	-0.238751006807226	-0.0636451837325437	-0.0496839274510516
h1SMcG0000528	0.0468433733782766	0.20137853979995	0.16634113296536	0.250505149272288
h1SMcG0000531	0.300251907147721	-0.691440376433188	-0.0152489107760543	-0.0545381907938941
h1SMcG0000532	-0.408978966480833	-0.291169862924532	-0.141223198648889	-0.993643372500417
h1SMcG0000534	0.415666395747078	0.433715833317587	0.741708433150173	-0.482233489211494
h1SMcG0000536	-0.105289941774049	0.171394815090415	-0.0458921341195595	-0.0220871953219569
h1SMcG0000538	-0.202428074731039	0.118678074108095	-0.251339681294195	-0.0211199577418413
h1SMcG0000542	0.0187688891663919	-0.736555650129986	-0.0452385210437971	-1.26837036754139
h1SMcG0000544	0.165547007385827	-0.0434447340986075	-0.0886962489635751	0.0258439817630146
h1SMcG0000545	-0.0609986858345278	0.130259042072057	-0.274544558383709	0.0629585847015257
h1SMcG0000547	-0.510274012869125	-0.136442757393641	-0.625577822127632	-1.6878228361175
h1SMcG0000548	-0.072735434929689	1.44773065079242	0.0762575238514715	1.42613430169317
h1SMcG0000549	0.0903907976784765	0.0429958513422735	-0.0985956206711927	-0.102305479691382
h1SMcG0000550	-0.087058129568784	0.271070263375659	-0.288895157735629	0.44047811380564
h1SMcG0000554	-0.0596022476985347	0.0188753944443731	-0.13893788902536	0.0882188521662369
h1SMcG0000558	-2.65015897650112e-05	-0.111031108556646	0.0677814570157703	-0.03032327127964
h1SMcG0000559	-0.0841802573200841	0.0197342527400621	-0.100817624536353	0.0930786967092104
h1SMcG0000560	0.119628250373519	0.100038684529663	-0.0202840435812562	0.147963536514751
h1SMcG0000561	0.755655194106183	0.0241711639121217	0.801451683570854	-0.0519089297227225
h1SMcG0000562	-0.214450085003422	-0.0950168698017053	-0.115221503253231	-0.0226146382487433
h1SMcG0000564	-0.0493991887499185	0.154506648042373	-0.0353801731378294	0.0575353440382051
h1SMcG0000565	0.064399835098084	-0.0697670109858866	-0.127665034600558	-0.0888698390234773
h1SMcG0000566	0.0978294949461259	0.225223053826314	-0.107164727583235	0.279237851428519
h1SMcG0000567	-0.365389057680619	-0.464274731089542	-0.248290997093695	-0.956443449174873
h1SMcG0000570	0.16562129709736	-0.718288724895317	0.0684170596495329	-0.139584744354135
h1SMcG0000572	-0.0294800071439528	0.00849826945402921	0.055111619733034	0.0593490508928514
h1SMcG0000574	0.148978907405487	-0.141422500818487	-0.0121939373033711	-0.101195145162054
h1SMcG0000577	-1.74360679987841	-0.718014791558339	0.330689073074646	-0.774627859947608
h1SMcG0000578	NA	NA	-0.0501145040266157	1.74730605534117
h1SMcG0000581	-0.47960556376012	-0.715092442873163	-0.364578325581995	-0.789880892252112
h1SMcG0000583	0.15338917021299	-0.095186013743916	0.0827980103525095	0.0471689385212264
h1SMcG0000584	0.0959372716224393	-0.304109887002415	0.119613402115615	-0.0664606047952835
